# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8083
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
imgk 	没事	c=1 d=0.0614212 t=8083
imj 	测	c=8 d=0.275595 t=8083
imsr 	滑板	c=1 d=1 t=7919
imya 	测试	c=7 d=1.40279 t=8083
inr 	汤	c=1 d=1 t=2070
inro 	烫	c=1 d=1 t=3002
ipb 	学	c=7 d=0.814647 t=8083
ipe 	浓	c=1 d=1 t=3083
ipg 	演	c=1 d=1 t=4076
ipkf 	堂	c=4 d=0.0668703 t=8083
ipkh 	常	c=3 d=1 t=6788
ipmq 	觉	c=2 d=1 t=7078
iptg 	学生	c=1 d=1 t=2092
iptj 	觉得	c=2 d=0.466612 t=4055
ipw 	深	c=1 d=0.0376283 t=8083
ipws 	深	c=1 d=1 t=6846
ipya 	浓度	c=1 d=1 t=4428
iq 	光	c=1 d=1 t=1628
iqdp 	溜达	c=1 d=1 t=6306
iqje 	光明	c=1 d=1 t=3394
iqn 	泡	c=2 d=0.124307 t=8083
iqpg 	淘宝	c=1 d=1 t=5257
iqpl 	辉	c=2 d=1.99005 t=6346
iqr 	淘	c=2 d=1 t=7748
irim 	汽油	c=1 d=1 t=3096
irn 	汽	c=1 d=1 t=3213
irr 	浙	c=5 d=1.03017 t=3043
isgg 	酒	c=2 d=1.96079 t=1032
isiw 	沐浴	c=1 d=1 t=2814
isk 	河	c=2 d=0.585669 t=8083
isyh 	酒店	c=1 d=1 t=6094
it 	少	c=3 d=1.90937 t=4170
itd 	活	c=1 d=1 t=2921
itx 	海	c=10 d=0.803891 t=8083
ium 	滴	c=2 d=1.3396 t=3427
iv 	当	c=4 d=1 t=7506
iw 	兴	c=1 d=1 t=5818
iwf 	举	c=1 d=1 t=1436
ixt 	涨	c=1 d=1 t=6446
iyc 	流	c=2 d=0.647265 t=8083
iyjg 	流量	c=1 d=0.615697 t=8083
iytb 	游	c=4 d=0.0443785 t=8083
iyuj 	注意	c=2 d=1.00001 t=6083
j 	是	c=11 d=4.49727 t=8083
jb 	最	c=6 d=1.19325 t=8083
jbdd 	最大	c=1 d=1 t=4504
jbih 	最小	c=1 d=1 t=7979
jbjh 	最早	c=1 d=1 t=2155
jbpu 	最初	c=1 d=1 t=1005
jbrg 	最后	c=1 d=0.082085 t=8083
jbrp 	最近	c=2 d=1.44264 t=3151
jbwf 	最佳	c=1 d=1 t=2890
jcjy 	蚂蚁	c=3 d=2.85294 t=3482
jcpn 	紧密	c=1 d=1 t=7972
jd 	是在	c=2 d=1.0696 t=7704
jd 	晨	c=-1 d=0.037828 t=7169
jdh 	是在	c=1 d=1 t=7172
je 	明	c=6 d=1.00352 t=7883
jedq 	明确	c=1 d=1 t=1671
jegd 	明天	c=14 d=0.0746459 t=8083
jeje 	明明	c=1 d=1 t=3234
jejh 	明早	c=1 d=1 t=2306
jeoo 	明火	c=1 d=1 t=3089
jf 	时	c=8 d=2.84688 t=6588
jfad 	时期	c=2 d=1.00413 t=2757
jfaw 	野花	c=1 d=1 t=2293
jfc 	野	c=1 d=1 t=4822
jfd 	里	c=19 d=2.20982 t=6837
jfqk 	时钟	c=6 d=4.73733 t=7401
jftk 	里程	c=1 d=1 t=4160
jfuj 	时间	c=14 d=1.36484 t=7958
jfwa 	时代	c=1 d=1 t=904
jfwh 	时候	c=10 d=1.59354 t=8083
jg 	量	c=1 d=1 t=4110
jgf 	旦	c=1 d=1 t=7747
jghm 	题	c=3 d=0.137473 t=8083
jgj 	量	c=3 d=1.87238 t=1427
